,#songs query,songs
0,15,"[u'Freestyle- 2 guys story', u'Eason Chan- \u5730\u72f1\u5492', u'Paul Dateh- Ultraman No Uta', u'Foretaste- Black Fever (Berlin Ny Night)', u'Minivan- Goutte Noire', u'Lezet- ""Soft Snow"" by William Blake', u'Taj-E- Sajna', u'Jenifa Mayanja- Unknown', u'Vintervila- Kapittel 3 - Ensomhet', u'Electronic Project- Dance!']"
1,2,"[u'The Flaming Lips- 10 Agonizing', u'Emanuele Errante- Inner']"
2,5,"[u'Pimsleur- hait03', u'Dr. Arnd Stein- Mit guter Laune in den Tag', u'Radioactive Goldfish- Phobia (Latin For Fear)', u'Kinder H\xf6rspiel- The Chatter Mice - Track 19', u'Bill Schaeffer- Inter-dimensional Phase Slip']"
3,9,"[u'Robert Schumann- 1. Allegro Affettuoso: 1. Allegro Affettuoso', u""Paul Robeson- Plaisir D'amour (2008 Digital Remaster)"", u'Ada- Sensizken Hayallerim Vard\u0131 Benim', u'Eduard Steuermann- M\xe4\xdfig', u'The Generations- Both Sides Now', u'Acid Elf- Korgthern Lights', u""Siberian Voice- Degradation (Domshe's Synth Tool)"", u'Music Themes Group- Angels We Have Heard On High', u'Various Artists- Sri Kubera']"
4,15,"[u'Model- Provocative', u'Amine Edge- Cruz Avenue (Clap-A-Pella Mix)', u'Dustin Hulton- FCK Your Bassline - Eros Remix', u'Wajiha- Police', u'Maido Project- Prairie', u'Echo Vacio- Treinta (Bass Tool)', u'Jason Randolph- Mint', u'Jes\xfas Serrano- Laura', u'Cashtime Fam- Number 1 (feat. Molly)', u'Jamey Aebersold Play-A-Long- September In The Rain']"
5,15,"[u'Backstreet Boys- Everything But Mine', u'Katatonia- One Year From Now', u'John Lewis- Just Hold Me', u'Yves Montand- Du Soleil plein la t\xeate', u'Deicide- Conviction', u'Serenade- Stars in the Sky (feat. Eric P. Moore)', u'Music Box- Duak Yah Nai Pah Poon', u'Pappo- Buscando Un Amor', u""Tim Deluxe- It Just Won't Do (Full Loop Tool)"", u'Twinkle Twinkle Little Rock Star- Girls Just Wanna Have Fun']"
6,15,"[u'Nas- Jika Takdir..', u'John Coltrane- My Favourite Things, Part 1', u""Steve Vai- K'm Pee-Du-We"", u'Meshell Ndegeocello- Dead Nigga Blvd. (Pt. 2) (Album Version)', u""Anita O'Day- The Man I Love"", u'Cookie Monster- Handful of Crumbs', u'Johann Pachelbel- Fugues On The Magnificat Primi Toni, Nos.1-10: I.9', u'Jimmy McGriff- Shuckin & Jivin', u'Arthur Rubinstein- Chopin: Nocturnes, Op. 62: No. 2 in E Major', u'Luke Abbott- Without Aim']"
7,15,"[u'Howard Shore- A Good Omen', u'Delta Goodrem- Together We Are One', u'Nena- Darkness', u""Case- Betcha Don't Know Y"", u'Renaissance- Midas Man (Disc 1 - Digitally Remastered Version)', u'Vic Chesnutt- Like A Monkey In A Zoo', u""Every Avenue- I Can't Not Love You"", u'Marian McPartland- There Will Never Be Another You', u'Mormon Tabernacle Choir- Sometimes I Feel Like A Motherless Child', u'Matt Monro- A Time For Love']"
8,15,"[u'Pink Floyd- Shine On You Crazy Diamond (Parts 1 - 7) (Edit) (2001 Digital Remaster)', u'Miles Davis- It Ain`t Necessarily So', u'Johann Sebastian Bach- In Dich Hab Ich Gehoffet, Herr', u'The Charlatans- Intimacy (Early Version)', u'Robert Schumann- No. 1. Lebhaft', u'Loop- Monterey', u'Andr\xe9 Rieu- Stenka Rasin', u""One Night Only- It's About Time"", u'Nomad- Street Sound', u'Jo Stafford- Yes, Indeed']"
9,15,"[u'Alicia Keys- Every Little Bit Hurts', u'Fleetwood Mac- I Need Your Love', u'Ringo Starr- English Garden', u'Harry Connick, Jr.- Recipe For Love', u'Smokey Robinson- Holly', u'Broadcast- You And Me In Time', u""Cliff Richard- D' in Love"", u'Fats Waller- Papa Better Watch Your Step', u'Adriano Celentano- Torno Sui Miei Passi', u'Giuseppe Verdi- Evviva il Doge!']"
10,15,"[u'Ella Fitzgerald- Open Your Window', u'Bryan Adams- Never Let Go', u'Testament- Human Race', u'Sara Bareilles- Mirror', u'James Blake- Limit To Your Love (Feist Cover)', u'Wolfgang Amadeus Mozart- Sonata K311', u'Pretty Lights- PL vs Radiohead vs Nirvana vs NIN', u""2 Chainz- I'm Gudda"", u'The Charlatans- My Name Is Despair', u'Bette Midler- \u30c6\u30eb\u30fc\u306e\u5504']"
11,15,"[u'Dream Theater- The Answer Lies Within', u'Wiz Khalifa- Get Sum', u'Testament- Powerslave', u'Hans Zimmer- Catatonic', u'Lloyd Banks- Follow The Leader', u'Athlete- Tokyo', u""Judy Garland- That's Entertainment (Live)"", u'Throwdown- Venom & Tears', u'Borgore- Ambient Dub sh*t (Original Mix)', u""Sanctus Real- I'm Not Alright""]"
12,15,"[u'Miles Davis- Lament', u'Frank Sinatra- Polka Dots & Moonbeams', u'Ludacris- How Low (Remix) (Bonus Track)', u'Monica- Hope for Tomorrow', u'Backstreet Boys- Christmas Time', u'Ellie Goulding- Guns And Horses', u'Rod Stewart- Human', u'Barbra Streisand- Come Tomorrow', u'Kreator- Violent Revolution', u""Peter Tosh- Legalize It (Secret Circuit's Echodelic Shockblast Dub)""]"
