,#songs query,songs
0,0,[]
1,0,[]
2,0,[]
3,1,[u'Psychoacoustic Soundclash- Biopsychic Resonator (Remix)']
4,0,[]
5,1,[u'Fading Colours- Lunatic - Teil 8']
6,0,[]
7,0,[]
8,2,"[u'Steven Osborne- 48 Esquisses, Op 63: Book 1 No 11: Les soupirs', u'Neue Vocalsolisten Stuttgart- Sein als Einspruch']"
9,0,[]
10,3,"[u'Ceasar K- Heavy Dose (Bonus Loop)', u'APPART- Part 7 Silence', u'Brythoniaid Male Voice Choir- Myfanwy']"
11,1,[u'Mendelssohn - Vienna Festival Orchestra- Fruhlingslied']
12,0,[]
13,0,[]
14,1,[u'Kryp Kikka Five- Wake Up']
15,2,"[u'Synkro- She Said (feat. Versa)', u'Mark Townsend- Vida Interlude']"
16,0,[]
17,0,[]
18,3,"[u'Dog Age- She Grows Something In The Sky', u'Andy Redmond- Flowers Of The Forest (Solo Piper)', u'John Zorn- Angelus Novus Peshat']"
19,1,[u'Philip Glass- PART TWO  Song #15  Father Death Blues']
20,3,"[u'Wellenfeld- Slow Fall', u'Dj Drop- Maple Leaf', u'Philippe Sarde- Pas Demain... Pas Demain...']"
21,5,"[u'JLS- Hallelujah', u'Westminster Cathedral Choir- Symphony of Psalms: II. Psalm 40', u'Carl Meyerling- Prelude And Fugue In C Major', u'Wiener Philharmoniker- 3. Lento assai, cantante e tranquillo', u'Joan Edwards- When the Lights Go on Again ( All over the World)']"
22,1,"[u'Claudio Scimone- La Caduta di Adamo : Part 2 ""Signor, nell\'ira tua pietoso e giusto"" [Adamo]']"
23,1,[u'Rani Verma- Chapha Baee Chapha']
24,3,"[u'BEZZY- Get That Money', u'Gastspieltheater Z\xfcrich- Isch das n\xf6d e feini Turte...', u'Y.N. Sharma- Sri Lakshmee Sahasranaamaavali - Cont']"
25,5,"[u'Sea Weed- Madmen All Around', u'Vaylon- The Boulevard', u'Sea Weed- Shy Guy', u'Monteverdi Choir- 3. Sequentia: Lacrimosa', u'Gabriela Demeterova- Lascia: Lascia']"
26,4,"[u'Bear Hands- What A Drag - Cale Parks Remix', u'Ernesto Molinari- Anubis-Nout: II. Nout', u'SD- Wie Es Geht (Instrumental)', u'Bill Warner- Reading']"
27,3,"[u'Wilhelm Keitel- Adina ovvero Il Califfo Di Bagdad/Oh, sconoscente Adina', u""Christelijk Gemengde Zangvereniging 'Immanuel' Rhenen- Ik zie een poort wijd open staan (remastered 2006)"", u'Various Artists- Interlude (Original version)']"
28,0,[]
29,5,"[u'Philthkids- Mo Fiyah', u'Spanish TV Band- So\xf1ar Es Desear, Children Song', u'Kenny Wright- A Bass Thing tapped plus percussion', u'Bass Mekanik- Pink Noise 20-20KHz', u""A-Type Player- Bess, Oh Where's My Bess? (Karaoke Version) [from the Musical Pippin]""]"
30,2,"[u'Daman Mahl- Bharya Mela', u'The Giannini Brass- 151 A, Passiontide']"
31,3,"[u'Standeg- Humanity', u'Lezet- komshinkine prijateljice sest', u'Wesly Two Eagles- Amazing Grace']"
32,3,"[u'Nikole- Letter of Love', u'West Side Sound Effects- Stereo Cd Player Cd Drawer Open Close Clicking Sound Effects EFX SFX FX Electronics CD Players', u'Cultured Sound- Paganini Polonaise']"
33,4,"[u'Umod- What Melody', u'Ojan Septet- Seconde Naissance (Part II)', u'Geshe Kelsang Gyatso- The Actual Meditation on Renunciation', u'Sri Vidyabhushana Thirtha Swami- Ninnane Paaduve (ugabhoga)']"
34,2,"[u'Dj Drop- Treat Tricks', u'Goyo- for Dilla']"
35,4,"[u'Larva- Madre', u'Roland Raemy- Vishuddha - Blue', u'Kentin Jivek- There Is A Time', u'Riccardo Villani- Symphony in F major, J-C 38: II. Andante']"
36,4,"[u'Scuba- Bleach', u'Rococo- When The Leaves Turn Into Fall', u'Isaac Stern- Adagio for Violin and Orchestra in E Major, K. 261', u'Wobbelix- No Reason (Original Mix)']"
37,1,[u'Pinaki- Happy New Year']
38,4,"[u'Discovery- Ufo alien', u'Mr. Manly- Frenchie and the Chunnel', u'Shin Chul- Beer And Peanuts', u'Juan Valladares- Sin hablar nos entendemos']"
